[rosmaster.main][INFO] 2022-06-05 22:32:07,853: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-06-05 22:32:07,853: Starting ROS Master Node
[xmlrpc][INFO] 2022-06-05 22:32:07,854: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-06-05 22:32:07,854: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2022-06-05 22:32:07,855: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-06-05 22:32:07,855: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-06-05 22:32:07,872: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-06-05 22:32:07,873: +PARAM [/roslaunch/uris/host_ubuntu__36441] by /roslaunch
[rosmaster.master][INFO] 2022-06-05 22:32:07,950: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-06-05 22:32:07,950: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-06-05 22:32:07,954: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37427/
[rosmaster.master][INFO] 2022-06-05 22:32:07,955: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37427/
[rosmaster.master][INFO] 2022-06-05 22:32:07,958: +PUB [/rosout_agg] /rosout http://ubuntu:37427/
[rosmaster.master][INFO] 2022-06-05 22:32:07,962: +SUB [/rosout] /rosout http://ubuntu:37427/
[rosmaster.master][INFO] 2022-06-05 22:32:41,245: +PUB [/rosout] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:41,246: +SERVICE [/gazebo/get_loggers] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:41,246: +SERVICE [/gazebo/set_logger_level] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:41,292: publisherUpdate[/rosout] -> http://ubuntu:37427/ ['http://ubuntu:41591/']
[rosmaster.master][INFO] 2022-06-05 22:32:41,300: publisherUpdate[/rosout] -> http://ubuntu:37427/ ['http://ubuntu:41591/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-06-05 22:32:46,209: +PUB [/clock] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,210: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,211: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,212: +SERVICE [/gazebo/delete_model] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,213: +SERVICE [/gazebo/delete_light] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,214: +SERVICE [/gazebo/get_model_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,215: +SERVICE [/gazebo/get_model_state] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,216: +SERVICE [/gazebo/get_world_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,217: +SERVICE [/gazebo/get_joint_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,217: +SERVICE [/gazebo/get_link_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,218: +SERVICE [/gazebo/get_link_state] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,219: +SERVICE [/gazebo/get_light_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,220: +SERVICE [/gazebo/set_light_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,221: +SERVICE [/gazebo/get_physics_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,222: +PUB [/gazebo/link_states] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,222: +PUB [/gazebo/model_states] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,223: +SERVICE [/gazebo/set_link_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,224: +SERVICE [/gazebo/set_physics_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,225: +SERVICE [/gazebo/set_model_state] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,226: +SERVICE [/gazebo/set_model_configuration] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,227: +SERVICE [/gazebo/set_joint_properties] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,228: +SERVICE [/gazebo/set_link_state] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,233: +SUB [/gazebo/set_link_state] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,235: +SERVICE [/gazebo/set_parameters] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,238: +SUB [/gazebo/set_model_state] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,239: +PUB [/gazebo/parameter_descriptions] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,240: +SERVICE [/gazebo/pause_physics] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,241: +PUB [/gazebo/parameter_updates] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,242: +SERVICE [/gazebo/unpause_physics] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,244: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,246: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,248: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,249: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,251: +SERVICE [/gazebo/reset_simulation] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,253: +SERVICE [/gazebo/reset_world] /gazebo http://ubuntu:41591/
[rosmaster.master][INFO] 2022-06-05 22:32:46,256: +PARAM [/use_sim_time] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,263: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,265: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,266: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,267: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,270: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,271: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,273: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,274: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,275: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,276: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,277: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,279: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,279: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,280: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,283: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,294: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,295: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,295: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,296: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,297: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,298: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,299: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,299: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,300: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,301: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,301: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,302: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,303: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,305: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2022-06-05 22:32:46,306: +PARAM [/gazebo/max_contacts] by /gazebo
